3/16/21, 3/17/21,	3/18/21,	3/19/21,	3/20/21,	3/21/21,	3/22/21,	3/23/21,	3/24/21,	3/25/21,	3/26/21,	3/27/21,	3/28/21,	3/29/21,	3/30/21,	3/31/21
620, 770, 706, 769, 672, 437, 590, 657, 627, 559, 579, 480, 485, 543, 584, 585
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,	0,	0
